epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.7264978327429895,0.8450649111499862,0.2465203238861928,0.9413497836295001,0.001
2,0.2893358126725844,0.92401712549489,0.17892412126171314,0.9530429978823313,0.001
3,0.23466094165982798,0.9343292514501427,0.1540078419323192,0.9564496823496915,0.001
4,0.20854845377152254,0.9396694595341128,0.13360126510409293,0.9618819629868336,0.001
5,0.19261611778425936,0.9443651597458798,0.1339524289144289,0.9595801491575361,0.001
